# emapper version: emapper-1.0.3-35-g63c274b emapper DB: 2.0
# command: ./emapper.py  --cpu 6 -i /data/shared/emapper_jobs/user_data/MM_w5d985y6/query_seqs.fa --output query_seqs.fa --output_dir /data/shared/emapper_jobs/user_data/MM_w5d985y6 -m diamond -d none --tax_scope 9397 --go_evidence non-electronic --target_orthologs one2one --seed_ortholog_evalue 0.001 --seed_ortholog_score 60 --query-cover 20 --subject-cover 0 --override --temp_dir /data/shared/emapper_jobs/user_data/MM_w5d985y6
# time: Mon May 18 11:17:39 2020
#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
TRINITY_GG_1_c83_g1_i1	1307437.J139_20479	1.3e-10	72.8	Proteobacteria													Chiroptera	1NZ1U@1224,2DUNM@1,33REW@2	NA|NA|NA		
TRINITY_GG_1_c175_g1_i1	1177179.A11A3_17040	6.3e-12	79.0	Bacteria													Chiroptera	COG3344@1,COG3344@2	NA|NA|NA	L	reverse transcriptase
TRINITY_GG_1_c246_g1_i1	225400.XP_006769070.1	2e-18	98.2	Chiroptera	CCDC42B												Chiroptera	28JKH@1,2QRZS@2759,39YS5@33154,3BB51@33208,3CTQD@33213,3J1MR@40674,482RF@7711,48XF0@7742,4M3XA@9397	NA|NA|NA	S	Coiled-coil domain-containing protein
TRINITY_GG_1_c420_g1_i2	9402.XP_006927085.1	1.6e-20	105.5	Chiroptera	RAD9B			ko:K10995	ko04218,map04218				ko00000,ko00001,ko03400				Chiroptera	38G4Z@33154,3BHJA@33208,3CWD7@33213,3JER3@40674,482AA@7711,48V8I@7742,4KU7D@9397,KOG2810@1,KOG2810@2759	NA|NA|NA	DL	RAD9 checkpoint clamp component B
TRINITY_GG_1_c503_g1_i2	482537.XP_008568675.1	8.7e-64	250.4	Euarchontoglires													Chiroptera	28KDS@1,2QSBN@2759,35M8S@314146,39TUE@33154,3BJJ6@33208,3CYXN@33213,3JD3R@40674,481HB@7711,490H9@7742	NA|NA|NA	P	Receptor for ATP that acts as a ligand-gated ion channel
TRINITY_GG_1_c547_g1_i2	9593.ENSGGOP00000028224	7.5e-105	387.1	Hominidae													Chiroptera	35KFN@314146,38GBW@33154,3BAKI@33208,3CU90@33213,3JFUS@40674,48AB6@7711,496TN@7742,4M8VG@9443,4MSVU@9604,KOG0963@1,KOG0963@2759,KOG2252@1,KOG2252@2759	NA|NA|NA	K	CUT
TRINITY_GG_1_c595_g1_i2	225400.XP_006769069.1	8.7e-15	88.2	Chiroptera	RASAL1			ko:K17632	ko04014,map04014				ko00000,ko00001				Chiroptera	38CMR@33154,3BBKY@33208,3E460@33213,3JFP4@40674,483IU@7711,48XIU@7742,4KZS4@9397,KOG2059@1,KOG2059@2759	NA|NA|NA	T	RasGAP-activating-like protein 1
TRINITY_GG_1_c625_g1_i1	225400.XP_006769065.1	0.0	1211.8	Chiroptera	PTPN11		3.1.3.48	ko:K07293	ko04013,ko04014,ko04072,ko04360,ko04630,ko04650,ko04670,ko04722,ko04920,ko04931,ko05120,ko05168,ko05205,ko05211,ko05220,map04013,map04014,map04072,map04360,map04630,map04650,map04670,map04722,map04920,map04931,map05120,map05168,map05205,map05211,map05220				ko00000,ko00001,ko01000,ko01009				Chiroptera	39S7A@33154,3BCJ0@33208,3CUJE@33213,3J545@40674,48269@7711,490ME@7742,4M3CN@9397,COG5599@1,KOG0790@2759	NA|NA|NA	T	phosphatase non-receptor type 11
TRINITY_GG_1_c633_g1_i1	9402.XP_006908638.1	9.6e-62	244.6	Chiroptera	RITA1												Chiroptera	2DK2A@1,2S61Y@2759,39T6B@33154,3BK0S@33208,3D1KN@33213,3J8QW@40674,484XW@7711,498ER@7742,4KQGT@9397	NA|NA|NA	S	RBPJ-interacting and tubulin-associated protein
TRINITY_GG_1_c633_g1_i3	29073.XP_008687137.1	2.2e-108	399.8	Carnivora													Chiroptera	2DK2A@1,2S61Y@2759,39T6B@33154,3BK0S@33208,3D1KN@33213,3ENSI@33554,3J8QW@40674,484XW@7711,498ER@7742	NA|NA|NA	S	RBPJ-interacting and tubulin-associated
TRINITY_GG_1_c641_g1_i7	42099.EPrPV00000015173	2.1e-16	94.7	Pythiales													Chiroptera	1MCUV@121069,COG0488@1,KOG0927@2759	NA|NA|NA	S	ATP-binding Cassette (ABC) Superfamily. Source PGD
TRINITY_GG_1_c641_g1_i9	42099.EPrPV00000015173	5.5e-17	96.7	Pythiales													Chiroptera	1MCUV@121069,COG0488@1,KOG0927@2759	NA|NA|NA	S	ATP-binding Cassette (ABC) Superfamily. Source PGD
TRINITY_GG_1_c642_g2_i4	29078.XP_008140949.1	6e-118	432.2	Chiroptera	ACAD10			ko:K11729					ko00000				Chiroptera	38BWX@33154,3BDYX@33208,3CUUN@33213,3JAB2@40674,48ABS@7711,4933E@7742,4KVWG@9397,COG1011@1,COG3173@1,KOG1469@2759,KOG3085@2759	NA|NA|NA	I	Acyl-CoA dehydrogenase family member 10
TRINITY_GG_1_c644_g1_i4	9707.XP_004410425.1	0.0	1120.9	Carnivora													Chiroptera	38DZ2@33154,3BA8H@33208,3CSYF@33213,3ESR4@33554,3JBCB@40674,4869A@7711,48VV0@7742,COG0513@1,KOG0337@2759	NA|NA|NA	A	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54
TRINITY_GG_1_c644_g1_i5	29078.XP_008141146.1	7.1e-131	473.4	Chiroptera	DDX54		3.6.4.13	ko:K14808					ko00000,ko01000,ko03009				Chiroptera	38DZ2@33154,3BA8H@33208,3CSYF@33213,3JBCB@40674,4869A@7711,48VV0@7742,4KX38@9397,COG0513@1,KOG0337@2759	NA|NA|NA	A	ATP-dependent RNA helicase DDX54
